filename,start,end,duration,time_extract-data,time_core-phrases,time_keywords,time_stats,time_guess-language,time_merger
draft-carney-regext-validate-00.pdf,1577623303,1577623667,364,363,,,,,
draft-akiya-bfd-seamless-ip-00.pdf,1577623296,1577623671,375,111,197,179,247,168,13
draft-akiya-mpls-lsp-ping-reply-mode-simple-00.pdf,1577623300,1577623705,405,299,90,76,50,36,13
draft-akiya-mpls-lsp-ping-lag-multipath-01.pdf,1577623296,1577623731,435,168,98,109,80,92,154
draft-akiya-mpls-entropy-lsp-ping-02.pdf,1577623295,1577623741,446,153,267,276,221,262,15
draft-akiya-mpls-lsp-ping-lag-multipath-02.pdf,1577623295,1577623790,495,164,119,131,313,96,16
draft-ali-pce-remote-initiated-gmpls-lsp-02.pdf,1577623295,1577623810,515,215,278,201,135,190,19
draft-ali-pce-remote-initiated-lsp-usage-00.pdf,1577623295,1577623827,532,170,75,75,33,33,284
draft-akiya-bfd-seamless-alert-discrim-01.pdf,1577623295,1577623844,549,135,389,183,187,214,22
draft-akiya-mpls-entropy-lsp-ping-04.pdf,1577623299,1577623848,549,342,101,130,182,64,20
draft-akiya-bfd-seamless-sr-03.pdf,1577623297,1577623856,559,489,46,42,35,31,19
draft-akiya-bfd-seamless-sr-00.pdf,1577623297,1577623862,565,426,56,114,46,42,21
draft-akiya-bfd-seamless-ip-05.pdf,1577623296,1577623874,578,125,356,398,196,433,17
draft-akiya-mpls-entropy-lsp-ping-01.pdf,1577623306,1577623882,576,488,65,50,43,37,19
draft-ama-mpls-fm-rdi-00.pdf,1577623296,1577623903,607,263,256,98,93,317,23
draft-aayadi-6lowpan-tcphc-01.pdf,1577623295,1577623924,629,233,365,172,339,275,28
draft-campbell-oauth-resource-indicators-01.pdf,1577623296,1577623934,638,320,96,69,295,62,19
draft-am-bfd-performance-00.pdf,1577623298,1577623937,639,284,338,46,39,31,14
draft-akiya-mpls-lsp-ping-reply-mode-simple-02.pdf,1577623296,1577623944,648,231,345,395,214,247,20
draft-castellani-core-http-mapping-03.pdf,1577623301,1577623984,683,646,31,32,35,32,
draft-akiya-bfd-seamless-base-02.pdf,1577623302,1577623991,689,592,76,80,54,31,14
draft-alexander-roll-mikey-lln-key-mgmt-01.pdf,1577623302,1577624003,701,563,120,84,45,37,12
draft-alvestrand-rmcat-congestion-03.pdf,1577623296,1577624004,708,289,401,71,52,32,13
draft-akiya-bfd-seamless-base-00.pdf,1577623296,1577624027,731,157,525,453,441,281,46
draft-alcaide-calabria-idr-bgp-prefix-priority-00.pdf,1577623304,1577624468,1164,1037,101,79,58,44,24
draft-aliahmad-dmm-anchor-selection-01.pdf,1577623301,1577624517,1216,1038,60,97,59,147,28
draft-antti-rfc2806bis-06.pdf,1577623304,1577624518,1214,1099,88,75,59,41,22
draft-akiya-mpls-lsp-ping-lag-multipath-00.pdf,1577623304,1577624546,1242,1106,103,106,80,59,25
draft-aliahmad-dmm-anchor-selection-00.pdf,1577623298,1577624576,1278,821,429,251,338,326,25
draft-campbell-oauth-resource-indicators-00.pdf,1577623299,1577624576,1277,1116,118,132,112,105,25
draft-akiya-mpls-entropy-lsp-ping-00.pdf,1577623299,1577624582,1283,1032,68,69,45,42,175
draft-akiya-mpls-lsp-ping-lag-multipath-05.pdf,1577623306,1577624592,1286,814,234,446,385,397,23
draft-ali-pce-remote-initiated-gmpls-lsp-01.pdf,1577623298,1577624642,1344,802,473,522,230,492,16
draft-akiya-mpls-lsp-ping-reply-mode-simple-01.pdf,1577623305,1577624644,1339,832,245,301,305,487,17
draft-adamson-elasticmcast-00.pdf,1577623300,1577624646,1346,829,435,499,392,222,15
draft-campbell-oauth-sts-00.pdf,1577623303,1577624669,1366,887,345,418,422,352,53
draft-akiya-bfd-seamless-alert-discrim-02.pdf,1577623301,1577624686,1385,1119,77,75,230,214,30
draft-campbell-oauth-mtls-01.pdf,1577623306,1577624700,1394,923,441,419,392,387,27
draft-carey-core-std-msg-vs-trans-adapt-00.pdf,1577623297,1577624711,1414,972,421,311,413,292,17
draft-campbell-oauth-sts-01.pdf,1577623299,1577624747,1448,1017,252,183,126,405,23
draft-capelastegui-mmusic-3dv-sdp-00.pdf,1577623299,1577624766,1467,1040,305,96,95,43,113
draft-agarwal-intarea-mams-protocol-json-00.pdf,1577623304,1577624773,1469,855,552,587,508,522,24
draft-akiya-mpls-entropy-lsp-ping-03.pdf,1577623302,1577624774,1472,941,503,221,350,384,24
draft-akiya-bfd-seamless-ip-02.pdf,1577623305,1577624826,1521,765,220,222,514,630,119
draft-akiya-bfd-seamless-sr-02.pdf,1577623302,1577624826,1524,945,434,509,469,398,66
draft-akiya-bfd-seamless-sr-01.pdf,1577623301,1577624849,1548,1423,51,47,55,31,65
draft-akiya-mpls-lsp-ping-lag-multipath-03.pdf,1577623305,1577624867,1562,866,398,294,414,566,120
draft-akiya-bfd-seamless-ip-03.pdf,1577623306,1577624981,1675,945,672,448,397,234,56
draft-campbell-oauth-sts-02.pdf,1577623299,1577624982,1683,1591,70,71,55,54,18
draft-am-dprive-eval-01.pdf,1577623302,1577625029,1727,1457,77,202,44,35,62
draft-castellani-core-http-mapping-01.pdf,1577623299,1577625062,1763,1613,94,66,142,148,
draft-akiya-bfd-seamless-alert-discrim-00.pdf,1577623300,1577625072,1772,1618,74,129,102,95,21
draft-akiya-bfd-seamless-ip-04.pdf,1577623305,1577625129,1824,1597,126,205,147,121,18
draft-campbell-tokbind-tls-term-00.pdf,1577623303,1577625129,1826,1728,71,76,44,38,17
draft-akiya-bfd-seamless-alert-discrim-03.pdf,1577623307,1577625166,1859,1723,71,71,103,98,19
draft-aazam-cdni-inter-cloud-architecture-00.pdf,1577623304,1577625181,1877,1763,90,87,40,33,21
draft-akiya-mpls-lsp-ping-reply-mode-simple-03.pdf,1577623300,1577625184,1884,1748,118,88,48,61,15
draft-ali-pce-remote-initiated-gmpls-lsp-00.pdf,1577623301,1577625266,1965,1829,57,117,108,40,14
draft-akiya-mpls-lsp-ping-lag-multipath-04.pdf,1577623301,1577625373,2072,1825,219,53,47,182,22
draft-campbell-oauth-mtls-00.pdf,1577623303,1577625414,2111,1819,226,226,38,33,59
