filename,start,end,duration,time_extract-data,time_core-phrases,time_keywords,time_stats,time_guess-language,time_merger
draft-akiya-mpls-lsp-ping-lag-multipath-00.pdf,1577367681,1577369194,1513,1411,74,75,41,35,24
draft-campbell-tokbind-tls-term-00.pdf,1577367680,1577369466,1786,840,841,634,829,502,102
draft-capelastegui-mmusic-3dv-sdp-00.pdf,1577367676,1577369468,1792,660,1107,952,943,935,20
draft-akiya-bfd-seamless-alert-discrim-02.pdf,1577367678,1577369473,1795,598,953,1011,1171,746,23
draft-aliahmad-dmm-anchor-selection-00.pdf,1577367675,1577369490,1815,323,1164,1400,1178,968,90
draft-castellani-core-http-mapping-01.pdf,1577367676,1577369546,1870,623,1243,1099,1018,1214,
draft-am-bfd-performance-00.pdf,1577367675,1577369597,1922,349,1540,1488,1193,1077,29
draft-akiya-bfd-seamless-base-00.pdf,1577367673,1577369625,1952,1138,425,448,754,397,55
draft-campbell-oauth-mtls-01.pdf,1577367683,1577369638,1955,924,619,1000,372,366,27
draft-antti-rfc2806bis-06.pdf,1577367681,1577369707,2026,1069,319,442,359,917,36
draft-akiya-bfd-seamless-sr-00.pdf,1577367675,1577369754,2079,434,1360,1557,1394,894,87
draft-aliahmad-dmm-anchor-selection-01.pdf,1577367679,1577369803,2124,664,1332,982,935,1441,16
draft-ali-pce-remote-initiated-gmpls-lsp-00.pdf,1577367679,1577369853,2174,1054,1102,361,967,634,15
draft-akiya-bfd-seamless-ip-03.pdf,1577367682,1577369856,2174,1252,82,220,432,238,486
draft-akiya-mpls-lsp-ping-reply-mode-simple-03.pdf,1577367677,1577369868,2191,462,1384,1467,1696,1096,28
draft-akiya-bfd-seamless-alert-discrim-00.pdf,1577367678,1577369886,2208,733,1029,895,1000,1423,47
draft-akiya-bfd-seamless-alert-discrim-01.pdf,1577367673,1577369889,2216,1069,301,1114,333,371,29
draft-akiya-mpls-lsp-ping-reply-mode-simple-01.pdf,1577367682,1577369905,2223,910,772,350,344,1285,24
draft-akiya-mpls-lsp-ping-reply-mode-simple-02.pdf,1577367673,1577369912,2239,982,1053,1128,429,1211,36
draft-campbell-oauth-resource-indicators-00.pdf,1577367677,1577369940,2263,1241,443,168,104,988,30
draft-akiya-mpls-entropy-lsp-ping-00.pdf,1577367677,1577369964,2287,466,1230,1801,1458,1478,16
draft-akiya-bfd-seamless-sr-03.pdf,1577367674,1577369975,2301,307,1454,1327,993,1777,212
draft-akiya-mpls-entropy-lsp-ping-02.pdf,1577367672,1577369981,2309,188,1914,1202,1117,1838,204
draft-akiya-mpls-lsp-ping-lag-multipath-02.pdf,1577367672,1577369984,2312,180,1490,1440,1921,1785,207
