filename,start,end,duration,time_extract-data,time_core-phrases,time_keywords,time_stats,time_guess-language,time_merger
draft-akiya-mpls-lsp-ping-lag-multipath-01.pdf,1577653169,1577654781,1612,1378,232,197,178,149,
draft-akiya-bfd-seamless-sr-01.pdf,1577653175,1577654901,1726,1120,,,,,
draft-campbell-oauth-resource-indicators-00.pdf,1577653173,1577655043,1870,1738,104,76,50,45,24
draft-akiya-mpls-entropy-lsp-ping-02.pdf,1577653169,1577655050,1881,159,1291,1719,1653,1488,
draft-akiya-mpls-entropy-lsp-ping-01.pdf,1577653179,1577655133,1954,1324,113,167,593,343,35
draft-alexander-roll-mikey-lln-key-mgmt-01.pdf,1577653175,1577655190,2015,919,823,1093,1055,937,
draft-am-bfd-performance-00.pdf,1577653172,1577655201,2029,400,1260,1346,1627,1537,
draft-akiya-mpls-entropy-lsp-ping-03.pdf,1577653176,1577655207,2031,1081,850,848,923,917,25
draft-campbell-oauth-sts-02.pdf,1577653172,1577655216,2044,604,1268,1142,1438,1072,
draft-aazam-cdni-inter-cloud-architecture-00.pdf,1577653177,1577655250,2073,1162,889,778,817,712,19
draft-akiya-mpls-lsp-ping-lag-multipath-05.pdf,1577653179,1577655281,2102,1734,90,205,342,92,21
draft-ali-pce-remote-initiated-gmpls-lsp-01.pdf,1577653172,1577655302,2130,515,1596,1571,1614,1230,
draft-akiya-bfd-seamless-ip-02.pdf,1577653178,1577655313,2135,1201,914,656,602,645,17
draft-ali-pce-remote-initiated-lsp-usage-00.pdf,1577653168,1577655327,2159,154,1781,1924,1247,1238,78
draft-akiya-bfd-seamless-ip-03.pdf,1577653178,1577655336,2158,1042,836,816,792,1094,19
draft-akiya-mpls-lsp-ping-lag-multipath-00.pdf,1577653177,1577655353,2176,1544,493,460,609,474,20
draft-campbell-tokbind-tls-term-00.pdf,1577653176,1577655355,2179,924,1057,1236,949,969,16
draft-am-dprive-eval-01.pdf,1577653175,1577655372,2197,1562,521,519,345,616,16
draft-akiya-bfd-seamless-sr-00.pdf,1577653171,1577655381,2210,266,1626,1902,1927,1855,14
draft-aliahmad-dmm-anchor-selection-00.pdf,1577653172,1577655396,2224,280,1915,1877,1511,1866,26
draft-agarwal-intarea-mams-protocol-json-00.pdf,1577653177,1577655412,2235,1166,803,950,620,1040,26
draft-campbell-oauth-sts-00.pdf,1577653176,1577655413,2237,1249,664,799,847,726,139
draft-akiya-bfd-seamless-alert-discrim-00.pdf,1577653174,1577655422,2248,2165,53,59,54,46,20
draft-aliahmad-dmm-anchor-selection-01.pdf,1577653175,1577655429,2254,750,1224,1234,1209,1486,15
draft-akiya-bfd-seamless-alert-discrim-02.pdf,1577653174,1577655446,2272,647,1604,866,1293,1211,17
draft-aayadi-6lowpan-tcphc-01.pdf,1577653169,1577655450,2281,1564,715,491,95,45,
draft-campbell-oauth-resource-indicators-01.pdf,1577653170,1577655466,2296,1355,766,643,920,124,19
draft-akiya-bfd-seamless-alert-discrim-01.pdf,1577653169,1577655467,2298,1392,534,461,697,884,17
draft-akiya-mpls-entropy-lsp-ping-04.pdf,1577653173,1577656142,2969,2433,266,354,332,509,23
draft-ali-pce-remote-initiated-gmpls-lsp-00.pdf,1577653175,1577656152,2977,2879,67,53,44,37,27
draft-akiya-bfd-seamless-alert-discrim-03.pdf,1577653179,1577656175,2996,2446,526,71,38,31,21
draft-capelastegui-mmusic-3dv-sdp-00.pdf,1577653172,1577656186,3014,2911,67,81,49,40,20
draft-campbell-oauth-mtls-00.pdf,1577653176,1577656224,3048,2647,359,265,254,350,39
draft-akiya-bfd-seamless-base-00.pdf,1577653170,1577656243,3073,2428,329,406,231,261,231
draft-akiya-mpls-lsp-ping-reply-mode-simple-02.pdf,1577653170,1577656245,3075,2457,592,77,111,98,22
draft-akiya-mpls-lsp-ping-lag-multipath-02.pdf,1577653169,1577656328,3159,3011,125,61,50,103,19
draft-campbell-oauth-sts-01.pdf,1577653172,1577656336,3164,2318,290,305,826,265,16
draft-akiya-mpls-lsp-ping-reply-mode-simple-03.pdf,1577653174,1577656341,3167,2421,713,406,219,440,29
draft-castellani-core-http-mapping-03.pdf,1577653174,1577656358,3184,3011,74,167,56,158,
draft-akiya-mpls-lsp-ping-reply-mode-simple-01.pdf,1577653178,1577656361,3183,2584,239,282,298,302,294
draft-akiya-mpls-lsp-ping-lag-multipath-03.pdf,1577653178,1577656427,3249,2792,426,273,254,354,26
draft-carney-regext-validate-00.pdf,1577653176,1577656428,3252,2313,597,708,670,469,227
draft-akiya-bfd-seamless-ip-00.pdf,1577653169,1577656435,3266,2451,416,279,319,455,357
draft-akiya-bfd-seamless-sr-03.pdf,1577653171,1577656453,3282,2727,274,305,390,403,149
draft-akiya-mpls-lsp-ping-lag-multipath-04.pdf,1577653174,1577656491,3317,2606,246,344,589,505,114
draft-akiya-bfd-seamless-sr-02.pdf,1577653175,1577656511,3336,2839,470,383,329,327,23
draft-carey-core-std-msg-vs-trans-adapt-00.pdf,1577653171,1577656537,3366,2572,282,243,542,756,36
draft-alvestrand-rmcat-congestion-03.pdf,1577653170,1577656565,3395,3190,126,71,44,35,75
draft-akiya-mpls-entropy-lsp-ping-00.pdf,1577653173,1577656572,3399,2739,74,629,128,431,28
draft-akiya-bfd-seamless-ip-05.pdf,1577653170,1577656599,3429,3046,353,187,302,254,25
draft-ali-pce-remote-initiated-gmpls-lsp-02.pdf,1577653169,1577656600,3431,3084,318,195,201,184,25
draft-akiya-mpls-lsp-ping-reply-mode-simple-00.pdf,1577653174,1577656611,3437,2783,318,526,273,360,125
draft-ama-mpls-fm-rdi-00.pdf,1577653170,1577656668,3498,3432,50,44,42,37,13
draft-akiya-bfd-seamless-base-02.pdf,1577653176,1577656683,3507,3288,203,130,115,167,12
draft-campbell-oauth-mtls-01.pdf,1577653179,1577656715,3536,3367,151,59,50,39,12
draft-adamson-elasticmcast-00.pdf,1577653174,1577656717,3543,3315,68,204,40,33,19
draft-akiya-bfd-seamless-ip-04.pdf,1577653178,1577656735,3557,3386,59,57,151,134,13
draft-antti-rfc2806bis-06.pdf,1577653177,1577656769,3592,3462,73,63,48,29,53
draft-castellani-core-http-mapping-01.pdf,1577653172,1577656877,3705,3662,24,30,41,30,
draft-alcaide-calabria-idr-bgp-prefix-priority-00.pdf,1577653177,1577656892,3715,3630,37,39,70,64,12
