NAME                 START                  END
text-analysis9jn2j   2019-12-27T09:58:47Z   2019-12-27T10:19:15Z
text-analysisv5gwb   2019-12-27T09:58:49Z   2019-12-27T10:21:41Z
text-analysistkpf2   2019-12-27T09:58:46Z   2019-12-27T10:21:50Z
text-analysish7pnm   2019-12-27T09:58:40Z   2019-12-27T10:22:44Z
text-analysislx65p   2019-12-27T09:58:45Z   2019-12-27T10:22:54Z
text-analysis66htm   2019-12-27T09:58:43Z   2019-12-27T10:23:04Z
text-analysislx247   2019-12-27T09:58:41Z   2019-12-27T10:23:35Z
text-analysisrfl7t   2019-12-27T09:58:40Z   2019-12-27T10:23:45Z
text-analysis2qnjx   2019-12-27T09:58:49Z   2019-12-27T10:24:08Z
text-analysisw8wb2   2019-12-27T09:58:50Z   2019-12-27T10:24:10Z
text-analysisfr6w6   2019-12-27T09:58:42Z   2019-12-27T10:24:10Z
text-analysis5q62z   2019-12-27T09:58:40Z   2019-12-27T10:24:12Z
text-analysisl7vwc   2019-12-27T09:58:41Z   2019-12-27T10:24:29Z
text-analysisx8r4r   2019-12-27T09:58:42Z   2019-12-27T10:24:30Z
text-analysishh5b5   2019-12-27T09:58:41Z   2019-12-27T10:24:37Z
text-analysislmjq7   2019-12-27T09:58:43Z   2019-12-27T10:24:49Z
text-analysis6j7cx   2019-12-27T09:58:46Z   2019-12-27T10:24:51Z
text-analysistmhgm   2019-12-27T09:58:50Z   2019-12-27T10:24:52Z
text-analysishgkz5   2019-12-27T09:58:40Z   2019-12-27T10:24:53Z
text-analysisncsmz   2019-12-27T09:58:40Z   2019-12-27T10:24:55Z
text-analysisdzcfz   2019-12-27T09:58:45Z   2019-12-27T10:25:01Z
text-analysis2m48z   2019-12-27T09:58:40Z   2019-12-27T10:25:05Z
text-analysis8xrzc   2019-12-27T09:58:48Z   2019-12-27T10:25:05Z
text-analysish2hsx   2019-12-27T09:58:47Z   2019-12-27T10:25:08Z
text-analysisnbl2n   2019-12-27T09:58:45Z   2019-12-27T10:25:14Z
text-analysis7x247   2019-12-27T09:58:48Z   2019-12-27T10:25:38Z
text-analysisdbt6t   2019-12-27T09:58:46Z   2019-12-27T10:44:20Z
text-analysisrxgtt   2019-12-27T09:58:44Z   2019-12-27T10:44:28Z
text-analysiswfzmw   2019-12-27T09:58:43Z   2019-12-27T10:46:01Z
text-analysisd7ngx   2019-12-27T09:58:50Z   2019-12-27T10:46:16Z
text-analysisssc8b   2019-12-27T09:58:48Z   2019-12-27T10:46:44Z
text-analysiswd6n9   2019-12-27T09:58:45Z   2019-12-27T10:46:46Z
text-analysisnqs5h   2019-12-27T09:58:42Z   2019-12-27T10:47:25Z
text-analysisr67hj   2019-12-27T09:58:45Z   2019-12-27T10:47:28Z
text-analysisv6cg7   2019-12-27T09:58:48Z   2019-12-27T10:47:36Z
text-analysisr6s4h   2019-12-27T09:58:48Z   2019-12-27T10:47:40Z
text-analysisbhpk8   2019-12-27T09:58:44Z   2019-12-27T10:47:56Z
text-analysis7vp8m   2019-12-27T09:58:47Z   2019-12-27T10:48:12Z
text-analysis2thkk   2019-12-27T09:58:46Z   2019-12-27T10:48:23Z
text-analysisqflz9   2019-12-27T09:58:45Z   2019-12-27T10:48:35Z
text-analysishdwtb   2019-12-27T09:58:49Z   2019-12-27T10:48:43Z
text-analysismrvpl   2019-12-27T09:58:40Z   2019-12-27T10:48:46Z
text-analysissn5wg   2019-12-27T09:58:49Z   2019-12-27T10:48:51Z
text-analysisxhj55   2019-12-27T09:58:42Z   2019-12-27T10:48:52Z
text-analysisnsc87   2019-12-27T09:58:48Z   2019-12-27T10:48:52Z
text-analysiss7qcj   2019-12-27T09:58:44Z   2019-12-27T10:48:53Z
text-analysisgprbf   2019-12-27T09:58:41Z   2019-12-27T10:48:57Z
text-analysisswhzf   2019-12-27T09:58:47Z   2019-12-27T10:50:46Z
text-analysisl67sc   2019-12-27T09:58:46Z   2019-12-27T10:54:57Z
text-analysisrm6s2   2019-12-27T09:58:46Z   2019-12-27T10:58:19Z
text-analysis8s2cw   2019-12-27T09:58:40Z   2019-12-27T10:58:26Z
text-analysis6tt6d   2019-12-27T09:58:41Z   2019-12-27T10:59:02Z
text-analysiswj54j   2019-12-27T09:58:47Z   2019-12-27T10:59:13Z
text-analysisvn8vs   2019-12-27T09:58:43Z   2019-12-27T10:59:41Z
text-analysis5jflc   2019-12-27T09:58:43Z   2019-12-27T10:59:47Z
text-analysist7m6w   2019-12-27T09:58:49Z   2019-12-27T11:00:22Z
text-analysis872rf   2019-12-27T09:58:44Z   2019-12-27T11:00:40Z
text-analysiszfv4w   2019-12-27T09:58:41Z   2019-12-27T11:01:51Z
text-analysisqgdqg   2019-12-27T09:58:48Z   2019-12-27T11:02:49Z
text-analysish2fmt   2019-12-27T09:58:43Z   2019-12-27T11:05:04Z
