NAME                 START                  END
text-analysis5zdlt   2019-12-26T20:32:22Z   2019-12-26T20:37:22Z
text-analysisc49fv   2019-12-26T20:32:22Z   2019-12-26T20:37:32Z
text-analysis8dl2r   2019-12-26T20:32:22Z   2019-12-26T20:38:29Z
text-analysishwkm7   2019-12-26T20:32:22Z   2019-12-26T20:38:38Z
text-analysisxmtz6   2019-12-26T20:32:22Z   2019-12-26T20:44:04Z
text-analysisc7j6c   2019-12-26T20:32:29Z   2019-12-26T20:48:28Z
text-analysiszchpc   2019-12-26T20:32:23Z   2019-12-26T20:48:58Z
text-analysis2dv6b   2019-12-26T20:32:28Z   2019-12-26T20:49:34Z
text-analysis8t2m5   2019-12-26T20:32:23Z   2019-12-26T20:49:55Z
text-analysisbqhcj   2019-12-26T20:32:23Z   2019-12-26T20:50:19Z
text-analysis98ztb   2019-12-26T20:32:24Z   2019-12-26T20:50:22Z
text-analysis6jffh   2019-12-26T20:32:24Z   2019-12-26T20:50:22Z
text-analysis5z4rt   2019-12-26T20:32:29Z   2019-12-26T20:50:45Z
text-analysis5dg77   2019-12-26T20:32:22Z   2019-12-26T20:50:52Z
text-analysis685rn   2019-12-26T20:32:26Z   2019-12-26T20:51:07Z
text-analysiswccz4   2019-12-26T20:32:23Z   2019-12-26T20:51:20Z
text-analysisd9fpk   2019-12-26T20:32:27Z   2019-12-26T21:11:53Z
text-analysisc9xc6   2019-12-26T20:32:28Z   2019-12-26T21:14:15Z
text-analysisqwb85   2019-12-26T20:32:22Z   2019-12-26T21:14:37Z
text-analysisjsrwp   2019-12-26T20:32:32Z   2019-12-26T21:20:01Z
text-analysisjzdfn   2019-12-26T20:32:32Z   2019-12-26T21:20:28Z
text-analysis2dwd7   2019-12-26T20:32:31Z   2019-12-26T21:22:05Z
text-analysistg2mz   2019-12-26T20:32:31Z   2019-12-26T21:22:16Z
text-analysis99kgs   2019-12-26T20:32:23Z   2019-12-26T21:22:16Z
text-analysisg9qs2   2019-12-26T20:32:29Z   2019-12-26T21:23:12Z
text-analysis8m5zv   2019-12-26T20:32:23Z   2019-12-26T21:23:23Z
text-analysis88kpp   2019-12-26T20:32:27Z   2019-12-26T21:23:28Z
text-analysisv66b2   2019-12-26T20:32:26Z   2019-12-26T21:23:41Z
text-analysisd26tj   2019-12-26T20:32:28Z   2019-12-26T21:23:47Z
text-analysiskcg24   2019-12-26T20:32:25Z   2019-12-26T21:24:51Z
text-analysis24dqf   2019-12-26T20:32:30Z   2019-12-26T21:25:39Z
text-analysispdxj7   2019-12-26T20:32:27Z   2019-12-26T21:25:59Z
text-analysisskgp4   2019-12-26T20:32:29Z   2019-12-26T21:26:19Z
text-analysisqbbg9   2019-12-26T20:32:25Z   2019-12-26T21:26:27Z
text-analysisxnz7l   2019-12-26T20:32:22Z   2019-12-26T21:26:32Z
text-analysis59nc4   2019-12-26T20:32:25Z   2019-12-26T21:26:38Z
text-analysis7cjtf   2019-12-26T20:32:25Z   2019-12-26T21:26:45Z
text-analysish24h4   2019-12-26T20:32:30Z   2019-12-26T21:26:46Z
text-analysismxpmf   2019-12-26T20:32:27Z   2019-12-26T21:27:13Z
text-analysisl2qpf   2019-12-26T20:32:28Z   2019-12-26T21:27:14Z
text-analysis4wb7f   2019-12-26T20:32:27Z   2019-12-26T21:27:32Z
text-analysisnhq6t   2019-12-26T20:32:29Z   2019-12-26T21:28:00Z
text-analysisv4fzv   2019-12-26T20:32:24Z   2019-12-26T21:33:05Z
text-analysisq8696   2019-12-26T20:32:26Z   2019-12-26T21:35:03Z
text-analysispv9tt   2019-12-26T20:32:26Z   2019-12-26T21:38:27Z
text-analysisws9hl   2019-12-26T20:32:31Z   2019-12-26T21:39:54Z
text-analysisn85nm   2019-12-26T20:32:28Z   2019-12-26T21:41:29Z
text-analysisvgcpd   2019-12-26T20:32:32Z   2019-12-26T21:41:34Z
text-analysis8jvjl   2019-12-26T20:32:25Z   2019-12-26T21:41:47Z
text-analysishdn77   2019-12-26T20:32:29Z   2019-12-26T21:42:11Z
text-analysiswzc56   2019-12-26T20:32:27Z   2019-12-26T21:42:32Z
text-analysisvq6tx   2019-12-26T20:32:28Z   2019-12-26T21:43:43Z
text-analysis5n8jq   2019-12-26T20:32:31Z   2019-12-26T21:43:53Z
text-analysis87zr9   2019-12-26T20:32:31Z   2019-12-26T21:44:14Z
text-analysisfkd5w   2019-12-26T20:32:30Z   2019-12-26T21:47:29Z
text-analysis8lhlm   2019-12-26T20:32:32Z   2019-12-26T21:49:27Z
text-analysisl2rr8   2019-12-26T20:32:24Z   2019-12-26T21:49:38Z
text-analysisxz9gj   2019-12-26T20:32:25Z   2019-12-26T21:50:01Z
text-analysismk8jb   2019-12-26T20:32:30Z   2019-12-26T21:50:36Z
text-analysisx7tjl   2019-12-26T20:32:30Z   2019-12-26T21:51:18Z
